지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22185,2021-01-01 01:00,5.8,337,8.5,3.5,1.9,1.3,7.1,280
22185,2021-01-01 02:00,4.8,19,7.2,3.2,1.9,1.4,6.4,289
22185,2021-01-01 03:00,4.9,33,6.9,2.9,1.9,1.3,7.1,275
22185,2021-01-01 04:00,2.1,38,4.3,3.3,1.8,1.3,6.4,292
22185,2021-01-01 05:00,4.3,56,6.2,3.1,1.8,1.3,6.4,295
22185,2021-01-01 06:00,4.2,74,6.2,2.9,1.6,1.2,7.1,296
22185,2021-01-01 07:00,4.1,90,7,2.2,1.6,1.2,6.4,291
22185,2021-01-01 08:00,5,83,6.3,2.4,1.4,1,6.4,285
22185,2021-01-01 09:00,2.7,106,5.7,2.4,1.4,1,6.4,286
22185,2021-01-01 10:00,.5,352,1.8,2.4,1.5,1,6.4,290
22185,2021-01-01 11:00,3,322,5.8,2.3,1.8,1.3,6.4,272
22185,2021-01-01 12:00,4.3,339,8,2.9,1.9,1.3,6.4,285
22185,2021-01-01 13:00,5.3,343,6.9,3.2,1.7,1.2,7.1,284
22185,2021-01-01 14:00,2.3,46,4,3.4,2,1.4,7.1,291
22185,2021-01-01 15:00,6.1,303,9.1,2.6,1.8,1.3,7.1,297
22185,2021-01-01 16:00,4.1,353,5.7,2.6,1.6,1.2,6.4,298
22185,2021-01-01 17:00,2.9,25,4.5,2.6,1.7,1.2,7.1,305
22185,2021-01-01 18:00,4.7,36,5.9,2.3,1.5,1,6.4,296
22185,2021-01-01 19:00,3.6,2,5.4,2.1,1.4,1,5.8,300
22185,2021-01-01 20:00,3.8,354,5.7,2.1,1.2,.9,5.8,285
22185,2021-01-01 21:00,2.8,349,4.9,2.3,1.2,.9,7.1,297
22185,2021-01-01 22:00,4.6,2,7.4,1.9,1.1,.8,6.4,286
22185,2021-01-01 23:00,5.6,13,8.5,1.6,1,.7,6.4,273
22185,2021-01-02 00:00,6.2,15,8,1.7,1,.7,5.3,280
22185,2021-01-02 01:00,6,4,8,1.6,1,.7,5.3,272
22185,2021-01-02 02:00,8,15,10.4,1.9,1,.7,5.8,286
22185,2021-01-02 03:00,7.6,9,9.8,1.5,1.1,.8,4.6,282
22185,2021-01-02 04:00,7.8,6,10.3,1.7,1,.7,5.3,296
22185,2021-01-02 05:00,8.2,357,11.2,2,1,.7,4,354
22185,2021-01-02 06:00,7.6,12,10.5,1.6,1.1,.8,4.6,334
22185,2021-01-02 07:00,8,358,10.3,1.6,1.1,.7,4.3,1
22185,2021-01-02 08:00,6.7,355,8.4,1.8,.9,.7,4.9,307
22185,2021-01-02 09:00,5.4,350,8.5,1.6,1,.7,5.3,296
22185,2021-01-02 10:00,5.8,349,8.2,1.5,.9,.7,4.3,314
22185,2021-01-02 11:00,4.5,348,6.5,1.4,.8,.6,4.6,294
22185,2021-01-02 12:00,4.4,358,6.7,1.3,.8,.6,4.9,291
22185,2021-01-02 13:00,5.7,334,8.2,1.3,.9,.6,4.3,286
22185,2021-01-02 14:00,4.6,350,7,1,.8,.5,4.6,290
22185,2021-01-02 15:00,4.5,4,6.9,1.7,.8,.6,4.6,290
22185,2021-01-02 16:00,6.7,338,8.6,1.5,1,.7,4.9,283
22185,2021-01-02 17:00,6.4,345,8.8,1.3,.9,.6,4,313
22185,2021-01-02 18:00,6.2,335,8.4,1.5,.9,.6,4.9,312
22185,2021-01-02 19:00,6.3,325,8.6,1.5,.9,.6,4.6,324
22185,2021-01-02 20:00,8.1,313,10,1.4,.9,.6,5.3,303
22185,2021-01-02 21:00,6.6,331,9.2,1.4,.8,.6,4.9,315
22185,2021-01-02 22:00,6.9,345,9.5,1.6,.9,.6,4.3,324
22185,2021-01-02 23:00,7,356,10.6,1.5,.9,.6,4,318
22185,2021-01-03 00:00,6.3,12,8,1.7,.9,.7,4.6,313
22185,2021-01-03 01:00,7.1,28,9.2,1.2,.8,.6,4.3,304
22185,2021-01-03 02:00,4.9,19,6.8,1.5,.9,.6,4.3,301
22185,2021-01-03 03:00,4.7,16,6.4,1.4,.8,.6,4,328
22185,2021-01-03 04:00,4.3,9,6.3,1.2,.8,.5,3.6,4
22185,2021-01-03 05:00,5.5,15,7.2,1.2,.7,.5,4,359
22185,2021-01-03 06:00,4,20,6.6,1.1,.6,.4,4.6,316
22185,2021-01-03 07:00,3.3,26,6,1.1,.6,.4,4.9,316
22185,2021-01-03 08:00,3.8,45,6.1,.9,.6,.4,4.9,324
22185,2021-01-03 09:00,2.9,47,4.8,1.1,.6,.4,5.3,315
22185,2021-01-03 10:00,2.6,52,5.5,.9,.6,.4,5.3,309
22185,2021-01-03 11:00,3.8,43,5.3,1.1,.6,.4,3,44
22185,2021-01-03 12:00,2.4,58,4,1,.6,.4,3.2,24
22185,2021-01-03 13:00,3.1,38,6.1,.9,.6,.5,3.4,33
22185,2021-01-03 14:00,3.7,28,5.4,.8,.6,.4,4.3,309
22185,2021-01-03 15:00,3.1,42,4.5,.9,.5,.4,4.6,299
22185,2021-01-03 16:00,2.4,46,4.2,.8,.5,.3,3.6,318
22185,2021-01-03 17:00,3,56,4.8,.7,.4,.3,3.4,340
22185,2021-01-03 18:00,3,69,4.5,.6,.3,.2,4.6,312
22185,2021-01-03 19:00,2.9,84,4.8,.5,.3,.2,4.6,325
22185,2021-01-03 20:00,1,55,2.3,.4,.3,.2,4.3,319
22185,2021-01-03 21:00,1.1,55,2.7,.5,.3,.2,4.6,331
22185,2021-01-03 22:00,.5,75,1.5,.5,.3,.2,4.3,354
22185,2021-01-03 23:00,1.9,13,3.4,.4,.3,.2,4.6,310
22185,2021-01-04 00:00,2.7,31,4.4,.4,.3,.2,4.9,293
22185,2021-01-04 01:00,2.8,25,4.5,.4,.2,.2,4.6,289
22185,2021-01-04 02:00,2.9,43,5.2,.3,.2,.2,4.9,281
22185,2021-01-04 03:00,3.1,39,4.8,.3,.2,.1,4,240
22185,2021-01-04 04:00,4.9,71,6.6,.5,.3,.2,2,268
22185,2021-01-04 05:00,5.3,82,7.5,.6,.4,.3,2.9,69
22185,2021-01-04 06:00,6.2,89,7.9,.8,.5,.3,3.4,79
22185,2021-01-04 07:00,6.9,94,8.9,1.3,.6,.4,3.8,64
22185,2021-01-04 08:00,6.2,89,8.4,.9,.6,.4,3.8,74
22185,2021-01-04 09:00,7.1,87,9,1,.6,.4,2.9,106
22185,2021-01-04 10:00,6.5,91,8.5,1.1,.6,.5,3.2,99
22185,2021-01-04 11:00,7,81,9.1,1,.7,.5,3.2,92
22185,2021-01-04 12:00,6.5,89,8,1.1,.7,.5,3,88
22185,2021-01-04 13:00,5.5,115,7.5,1,.6,.4,3.2,100
22185,2021-01-04 14:00,6.2,113,8.3,.8,.5,.4,3,92
22185,2021-01-04 15:00,6.1,121,7.8,.8,.5,.3,3.6,118
22185,2021-01-04 16:00,4.9,124,6.8,.8,.6,.4,3.8,128
22185,2021-01-04 17:00,5.5,125,7.1,.9,.6,.4,3.8,123
22185,2021-01-04 18:00,5.6,127,7.3,.8,.5,.4,3.8,125
22185,2021-01-04 19:00,6.3,151,7.7,.9,.5,.4,3.4,146
22185,2021-01-04 20:00,6.6,172,8.2,.9,.6,.4,3.2,147
22185,2021-01-04 21:00,4.8,246,8.1,.9,.5,.4,2.7,165
22185,2021-01-04 22:00,5.9,302,7.5,.7,.5,.3,2.9,154
22185,2021-01-04 23:00,9.2,30,10.8,.8,.6,.4,3,27
22185,2021-01-05 00:00,8.9,33,10.4,1.3,.8,.6,3,54
22185,2021-01-05 01:00,7.6,30,9.8,1.2,.8,.6,3.8,30
22185,2021-01-05 02:00,5.7,25,7.4,1.5,.9,.6,3.6,26
22185,2021-01-05 03:00,5.2,5,7.8,1.6,.9,.7,3.6,58
22185,2021-01-05 04:00,8.6,17,10.3,1.8,1,.7,4.9,278
22185,2021-01-05 05:00,8.7,5,11.6,1.7,1.1,.8,3.8,36
22185,2021-01-05 07:00,8.8,11,11.8,1.9,1.2,.8,4.6,325
22185,2021-01-05 08:00,9.7,2,12.5,2.1,1.3,.9,4.6,338
22185,2021-01-05 09:00,7.7,1,10.7,2.5,1.5,1,4.9,335
22185,2021-01-05 10:00,8.1,358,11.9,2.3,1.4,1,4.9,330
22185,2021-01-05 11:00,8.7,336,12.1,2.1,1.3,.9,5.8,315
22185,2021-01-05 12:00,9.6,339,12.5,2.7,1.5,1.1,4.9,333
22185,2021-01-05 13:00,9.6,332,12.2,2.5,1.7,1.2,5.3,321
22185,2021-01-05 14:00,9.1,338,12.7,2.5,1.7,1.2,5.8,310
22185,2021-01-05 15:00,9.7,339,12.9,2.3,1.6,1.1,5.3,323
22185,2021-01-05 16:00,10.1,337,14.4,2.8,1.8,1.2,5.3,317
22185,2021-01-05 17:00,10.5,332,13.4,2.7,1.7,1.2,5.3,313
22185,2021-01-05 18:00,10,341,13.7,3,1.7,1.2,5.8,315
22185,2021-01-05 19:00,9.3,337,12.7,2.4,1.5,1,5.3,335
22185,2021-01-05 20:00,8.6,325,11.2,2.5,1.5,1.1,5.8,326
22185,2021-01-05 21:00,8.5,334,12.6,2,1.4,1,4.6,337
22185,2021-01-05 22:00,8.9,340,11.4,1.9,1.3,.9,5.3,322
22185,2021-01-05 23:00,6.9,4,10,1.6,1.2,.8,5.8,315
22185,2021-01-06 00:00,7.2,1,9.7,1.9,1.1,.8,5.8,306
22185,2021-01-06 01:00,6.7,6,8.8,1.8,1.1,.8,6.4,302
22185,2021-01-06 02:00,5.7,11,7.9,2,1.2,.9,5.8,291
22185,2021-01-06 03:00,5.5,26,7.4,1.6,1.2,.8,5.8,306
22185,2021-01-06 04:00,5.2,25,6.8,1.9,1.2,.8,5.3,303
22185,2021-01-06 05:00,4.8,32,6.4,1.9,1.2,.8,5.3,296
22185,2021-01-06 06:00,4.6,41,6.2,2,1.1,.8,5.3,303
22185,2021-01-06 07:00,4.6,29,6.6,1.9,1.2,.8,4.9,303
22185,2021-01-06 08:00,4.4,27,6.1,1.8,1.1,.8,5.8,302
22185,2021-01-06 09:00,5.1,28,6.9,1.6,1.1,.8,6.4,303
22185,2021-01-06 10:00,5.4,27,6.9,1.8,1.1,.8,5.8,313
22185,2021-01-06 11:00,5.1,26,7.5,1.8,1.3,.9,5.8,307
22185,2021-01-06 12:00,4.2,23,6.1,1.8,1.1,.8,6.4,305
22185,2021-01-06 13:00,2.1,51,3.5,1.7,1.1,.8,6.4,304
22185,2021-01-06 14:00,1.9,99,4.3,1.8,1,.7,6.4,297
22185,2021-01-06 15:00,2.6,147,4.9,1.5,.8,.6,5.3,303
22185,2021-01-06 16:00,6.2,199,8.7,1.3,.8,.6,5.8,309
22185,2021-01-06 17:00,11.2,252,16.4,1.9,1.1,.8,4.9,292
22185,2021-01-06 18:00,13,272,16.7,2.9,1.5,1.1,4.6,278
22185,2021-01-06 19:00,15.3,269,19.3,3.2,1.9,1.3,4.9,267
22185,2021-01-06 20:00,16.6,287,22.6,4.1,2.6,1.9,6.4,283
22185,2021-01-06 21:00,18.2,286,23.1,7,3.7,2.6,8,274
22185,2021-01-06 22:00,15.7,289,22,6.7,4.3,3,8,279
22185,2021-01-06 23:00,16.9,342,24.1,6.7,4,2.8,8,276
22185,2021-01-07 00:00,16.5,316,22.1,9,4.2,3,8,278
22185,2021-01-07 01:00,16.4,314,21.7,7.9,4.5,3.2,9.1,275
22185,2021-01-07 02:00,14.7,316,19.5,7.6,4.6,3.2,9.1,286
22185,2021-01-07 03:00,15.8,328,20.4,7.9,5.1,3.6,9.1,289
22185,2021-01-07 04:00,14.9,325,20,7.1,4.2,3,9.1,289
22185,2021-01-07 05:00,15.1,335,21,7,4.4,3.1,9.1,299
22185,2021-01-07 06:00,15.1,332,19.8,6.9,4.4,3.1,9.1,305
22185,2021-01-07 07:00,15,335,20.9,6,4,2.9,9.1,288
22185,2021-01-07 08:00,12.9,339,17.9,6.9,3.9,2.8,9.1,295
22185,2021-01-07 09:00,12.7,336,17.7,6.9,3.9,2.8,9.1,300
22185,2021-01-07 10:00,14,329,19.6,5.7,3.8,2.7,7.1,310
22185,2021-01-07 11:00,14.5,334,21.1,5.5,3.5,2.5,9.1,296
22185,2021-01-07 12:00,14,330,19.1,6.3,3.8,2.7,7.1,306
22185,2021-01-07 13:00,13.8,324,18.3,5.4,3.4,2.4,7.1,290
22185,2021-01-07 14:00,12.7,339,17.2,5.6,3.1,2.2,9.1,291
22185,2021-01-07 15:00,12.7,340,17.6,4.9,3,2.1,8,298
22185,2021-01-07 16:00,9.6,337,14.9,5,2.9,2,8,300
22185,2021-01-07 17:00,8.7,356,13.6,3.9,2.3,1.7,6.4,294
22185,2021-01-07 18:00,7.6,344,14.1,4,2.7,1.9,7.1,307
22185,2021-01-07 19:00,7.9,20,10.6,3.9,2.2,1.6,6.4,294
22185,2021-01-07 20:00,8.7,16,11.1,3.5,2.4,1.7,7.1,311
22185,2021-01-07 21:00,10,331,13.7,3.4,2.2,1.6,6.4,310
22185,2021-01-07 22:00,11.2,321,16.9,4,2.4,1.7,7.1,311
22185,2021-01-07 23:00,12,318,17.3,4.2,2.3,1.6,6.4,319
22185,2021-01-08 00:00,13.4,314,18.3,5,3,2.1,6.4,309
22185,2021-01-08 01:00,10.9,355,16.1,5.1,2.8,2,7.1,301
22185,2021-01-08 02:00,10.6,6,14.3,4.4,2.7,1.9,7.1,298
22185,2021-01-08 03:00,11,357,14.3,4.5,3.2,2.3,8,295
22185,2021-01-08 04:00,10.8,7,14.4,4.8,3.1,2.2,8,291
22185,2021-01-08 05:00,9.6,8,12.6,4.8,3.1,2.2,7.1,297
22185,2021-01-08 06:00,9.6,19,12.8,4.7,2.4,1.7,8,296
22185,2021-01-08 07:00,8.9,30,12,4.4,2.9,2.1,7.1,306
22185,2021-01-08 08:00,8.8,25,12.7,4.1,2.3,1.6,8,308
22185,2021-01-08 09:00,9,23,11.4,3.4,2.6,1.8,8,312
22185,2021-01-08 10:00,8.6,26,12.1,3.2,2,1.4,7.1,327
22185,2021-01-08 11:00,8.7,28,11.9,3,2.1,1.5,7.1,313
22185,2021-01-08 12:00,8.4,25,11.5,3.1,1.9,1.3,7.1,306
22185,2021-01-08 13:00,8,22,11.2,2.8,2,1.4,7.1,291
22185,2021-01-08 14:00,7.6,15,10.1,2.5,1.5,1.1,7.1,285
22185,2021-01-08 15:00,7.4,19,10.3,2.6,1.7,1.2,7.1,289
22185,2021-01-08 16:00,7.8,9,10.7,2.5,1.6,1.2,7.1,279
22185,2021-01-08 17:00,9.6,353,11.9,2.7,1.9,1.3,7.1,273
